seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
(20894,1,73,0)	0	0	5	37
(20894,1,78,0)	0	0	9	48
(20894,1,100,0)	0	0	14	44
(20894,1,115,0)	0	0	7	0
(20894,1,146,0)	0	0	29	87
(20894,1,160,0)	0	0	6	144
(20895,0,152,0)	0	0	26	0
(20895,0,166,0)	0	0	92	10
(20895,0,168,0)	0	0	54	132
(20895,1,11,0)	0	0	61	368
(20895,1,30,0)	0	0	1	72
(20895,1,82,0)	0	0	0	25
(20895,1,97,0)	0	0	95	390
(20895,1,99,0)	0	0	10	104
(20895,1,141,0)	0	0	19	28
(20895,1,197,0)	0	0	125	348
(20895,1,199,0)	0	0	133	126
(20896,0,5,0)	0	0	2	3
(20896,0,117,0)	0	0	49	39
(20896,1,4,0)	0	0	38	325
(20896,1,17,0)	0	0	9	136
(20896,1,72,0)	0	0	11	71
(20896,1,73,0)	0	0	0	65
(20896,1,79,0)	0	0	0	19
(20896,1,88,0)	0	0	36	207
(20896,1,90,0)	0	0	17	102
(20896,1,123,0)	0	0	75	188
(20896,1,155,0)	0	0	20	120
(20896,1,197,0)	0	0	5	148
(20896,1,198,0)	0	0	13	277
(20896,1,204,0)	0	0	39	5
(20896,1,212,0)	0	0	0	26
(20896,1,216,0)	0	0	5	27
(20897,0,105,0)	0	0	23	3
(20897,1,21,0)	0	0	19	170
(20897,1,54,0)	0	0	19	2
(20897,1,72,0)	0	0	2	85
(20897,1,83,0)	0	0	36	92
(20897,1,113,0)	0	0	19	200
(20897,1,117,0)	0	0	0	1
(20897,1,118,0)	0	0	0	55
(20897,1,146,0)	0	0	0	24
(20898,0,0,0)	0	0	41	24
(20898,0,3,0)	0	0	15	87
(20898,0,31,0)	0	0	3	16
(20898,0,46,0)	0	0	31	4
(20898,0,51,0)	0	0	28	40
(20898,0,74,0)	0	0	34	16
(20898,0,81,0)	0	0	15	3
(20898,0,110,0)	0	0	12	107
(20898,0,121,0)	0	0	46	40
(20898,0,143,0)	0	0	14	55
(20898,1,12,0)	0	0	0	37
(20898,1,18,0)	0	0	7	58
(20898,1,24,0)	0	0	14	81
(20898,1,51,0)	0	0	41	449
(20898,1,80,0)	0	0	15	318
(20898,1,101,0)	0	0	29	139
(20898,1,105,0)	0	0	1	105
(20898,1,112,0)	0	0	3	32
(20898,1,141,0)	0	0	39	73
(20898,1,155,0)	0	0	1	44
(20899,0,4,0)	0	0	25	0
(20899,0,123,0)	0	0	16	0
(20899,0,130,0)	0	0	48	32
(20899,1,16,0)	0	0	25	25
(20899,1,24,0)	0	0	2	27
(20899,1,78,0)	0	0	39	263
(20899,1,132,0)	0	0	59	211
(20900,0,2,0)	0	0	3	63
(20900,0,77,0)	0	0	0	44
(20900,0,97,0)	0	0	57	177
(20900,0,106,0)	0	0	2	7
(20900,0,189,0)	0	0	0	29
(20900,0,190,0)	0	0	0	10
(20900,0,194,0)	0	0	8	60
(20900,1,1,0)	0	0	15	0
(20900,1,5,0)	0	0	1	52
(20900,1,8,0)	0	0	4	59
(20900,1,21,0)	0	0	2	6
(20900,1,22,0)	0	0	29	167
(20900,1,38,0)	0	0	93	258
(20900,1,49,0)	0	0	24	297
(20900,1,73,0)	0	0	0	25
(20900,1,84,0)	0	0	4	39
(20900,1,117,0)	0	0	6	198
(20900,1,164,0)	0	0	16	59
(20901,0,38,0)	0	0	28	5
(20901,0,84,0)	0	0	0	70
(20901,0,110,0)	0	0	167	16
(20901,0,133,0)	0	0	10	111
(20901,0,196,0)	0	0	49	32
(20901,1,44,0)	0	0	2	54
(20901,1,47,0)	0	0	0	97
(20901,1,140,0)	0	0	5	74
(20901,1,176,0)	0	0	4	187
(20901,1,212,0)	0	0	15	69
(20902,0,2,0)	0	0	0	15
(20902,0,43,0)	0	0	78	21
(20902,0,47,0)	0	0	17	28
(20902,0,70,0)	0	0	4	11
(20902,0,155,0)	0	0	33	23
(20902,1,32,0)	0	0	7	58
(20902,1,33,0)	0	0	5	206
(20902,1,40,0)	0	0	31	146
(20902,1,48,0)	0	0	1	12
(20902,1,81,0)	0	0	29	124
(20903,0,6,0)	0	0	133	78
(20903,0,17,0)	0	0	73	6
(20903,0,30,0)	0	0	28	49
(20903,0,39,0)	0	0	23	0
(20903,0,73,0)	0	0	47	4
(20903,0,162,0)	0	0	60	6
(20903,1,31,0)	0	0	18	138
(20903,1,67,0)	0	0	18	57
(20903,1,126,0)	0	0	21	150
(20903,1,128,0)	0	0	0	6
(20903,1,134,0)	0	0	2	67
(20903,1,137,0)	0	0	74	170
(20903,1,159,0)	0	0	6	14
(20903,1,165,0)	0	0	5	12
(20903,1,172,0)	0	0	1	52
(20903,1,181,0)	0	0	8	114
(20903,1,190,0)	0	0	10	226
(20903,1,194,0)	0	0	0	4
(20903,1,196,0)	0	0	4	57
(20903,1,200,0)	0	0	8	169
(20904,0,14,0)	0	0	38	101
(20904,0,29,0)	0	0	7	0
(20904,0,99,0)	0	0	5	70
(20904,0,114,0)	0	0	17	57
(20904,0,142,0)	0	0	4	28
(20904,0,153,0)	0	0	12	30
(20904,1,1,0)	0	0	30	112
(20904,1,56,0)	0	0	0	31
(20904,1,58,0)	0	0	2	86
(20904,1,85,0)	0	0	109	97
(20904,1,113,0)	0	0	1	88
(20904,1,170,0)	0	0	21	91
(20904,1,175,0)	0	0	58	2
(20904,1,215,0)	0	0	3	37
(20905,0,29,0)	0	0	20	24
(20905,0,30,0)	0	0	0	45
(20905,0,43,0)	0	0	23	3
(20905,0,77,0)	0	0	3	0
(20905,0,89,0)	0	0	54	41
(20905,0,105,0)	0	0	5	0
(20905,0,119,0)	0	0	183	76
(20905,0,147,0)	0	0	79	14
(20905,1,20,0)	0	0	10	191
(20905,1,66,0)	0	0	22	76
(20905,1,68,0)	0	0	15	62
(20905,1,97,0)	0	0	13	218
(20905,1,103,0)	0	0	4	111
(20905,1,111,0)	0	0	4	116
(20905,1,160,0)	0	0	15	227
(20906,0,45,0)	0	0	2	66
(20906,0,80,0)	0	0	39	75
(20906,0,95,0)	0	0	32	95
(20906,0,191,0)	0	0	1	18
(20906,1,14,0)	0	0	26	6
(20906,1,32,0)	0	0	6	30
(20906,1,54,0)	0	0	8	172
(20906,1,73,0)	0	0	22	12
(20906,1,77,0)	0	0	32	203
(20906,1,88,0)	0	0	16	126
(20906,1,95,0)	0	0	7	63
(20906,1,109,0)	0	0	40	128
(20906,1,115,0)	0	0	17	49
(20906,1,128,0)	0	0	9	14
(20906,1,160,0)	0	0	30	168
(20906,1,192,0)	0	0	24	205
(20907,0,66,0)	0	0	26	1
(20907,0,76,0)	0	0	9	1
(20907,0,120,0)	0	0	52	4
(20907,0,193,0)	0	0	37	2
(20907,0,196,0)	0	0	21	0
(20907,1,1,0)	0	0	12	61
(20907,1,12,0)	0	0	15	92
(20907,1,17,0)	0	0	13	3
(20907,1,68,0)	0	0	2	182
(20907,1,108,0)	0	0	37	113
(20907,1,115,0)	0	0	52	179
(20908,0,35,0)	0	0	39	3
(20908,0,60,0)	0	0	24	1
(20908,0,68,0)	0	0	17	51
(20908,1,3,0)	0	0	19	193
(20908,1,6,0)	0	0	4	31
(20908,1,20,0)	0	0	2	51
(20908,1,42,0)	0	0	0	55
(20908,1,50,0)	0	0	15	82
(20908,1,51,0)	0	0	14	25
(20908,1,93,0)	0	0	11	13
(20908,1,109,0)	0	0	0	10
(20908,1,126,0)	0	0	88	0
(20908,1,142,0)	0	0	47	3
(20908,1,143,0)	0	0	27	146
(20908,1,147,0)	0	0	17	140
(20908,1,149,0)	0	0	1	56
(20909,0,59,0)	0	0	27	13
(20909,0,86,0)	0	0	0	108
(20909,0,130,0)	0	0	0	28
(20909,0,135,0)	0	0	26	10
(20909,0,158,0)	0	0	24	1
(20909,1,15,0)	0	0	0	103
(20909,1,147,0)	0	0	0	49
(20909,1,160,0)	0	0	4	40
(20909,1,162,0)	0	0	10	103
(20910,0,44,0)	0	0	32	68
(20910,0,57,0)	0	0	64	11
(20910,0,93,0)	0	0	9	8
(20910,0,96,0)	0	0	3	117
(20910,0,129,0)	0	0	2	0
(20910,1,15,0)	0	0	28	139
(20910,1,38,0)	0	0	2	19
(20910,1,112,0)	0	0	57	82
(20910,1,117,0)	0	0	2	57
(20910,1,146,0)	0	0	5	0
(20910,1,156,0)	0	0	0	3
(20910,1,163,0)	0	0	37	281
(20910,1,185,0)	0	0	0	72
(20911,0,54,0)	0	0	17	1
(20911,0,113,0)	0	0	53	4
(20911,0,182,0)	0	0	119	20
(20911,1,4,0)	0	0	25	148
(20911,1,8,0)	0	0	84	196
(20911,1,19,0)	0	0	1	71
(20911,1,28,0)	0	0	3	74
(20911,1,35,0)	0	0	42	26
(20911,1,52,0)	0	0	27	116
(20911,1,65,0)	0	0	22	145
(20911,1,75,0)	0	0	3	82
(20911,1,151,0)	0	0	0	26
(20911,1,162,0)	0	0	31	56
(20911,1,165,0)	0	0	15	49
(20911,1,186,0)	0	0	47	159
(20911,1,193,0)	0	0	0	14
(20912,0,15,0)	0	0	4	93
(20912,0,43,0)	0	0	126	151
(20912,0,74,0)	0	0	0	4
(20912,0,146,0)	0	0	121	60
(20912,1,29,0)	0	0	9	66
(20912,1,32,0)	0	0	2	0
(20912,1,78,0)	0	0	1	6
(20912,1,95,0)	0	0	26	1
(20912,1,105,0)	0	0	5	0
(20912,1,123,0)	0	0	24	91
(20912,1,178,0)	0	0	2	18
(20912,1,190,0)	0	0	10	81
(20912,1,194,0)	0	0	18	107
(20912,1,203,0)	0	0	0	13
(20912,1,220,0)	0	0	16	82
(20913,0,64,0)	0	0	63	7
(20913,0,93,0)	0	0	92	0
(20913,0,95,0)	0	0	0	39
(20913,0,105,0)	0	0	95	138
(20913,0,150,0)	0	0	0	6
(20913,0,156,0)	0	0	54	108
(20913,1,6,0)	0	0	0	70
(20913,1,11,0)	0	0	1	26
(20913,1,31,0)	0	0	0	16
(20913,1,66,0)	0	0	0	28
(20913,1,72,0)	0	0	63	16
(20913,1,126,0)	0	0	19	246
(20913,1,129,0)	0	0	6	98
(20913,1,130,0)	0	0	22	42
(20913,1,136,0)	0	0	1	100
(20913,1,142,0)	0	0	64	37
(20913,1,157,0)	0	0	17	326
(20913,1,164,0)	0	0	28	141
(20913,1,197,0)	0	0	50	188
(20914,0,26,0)	0	0	43	31
(20914,0,74,0)	0	0	51	51
(20914,0,79,0)	0	0	14	8
(20914,0,153,0)	0	0	37	0
(20914,1,89,0)	0	0	24	134
(20914,1,159,0)	0	0	2	99
(20914,1,177,0)	0	0	12	59
(20915,0,43,0)	0	0	55	1
(20915,0,45,0)	0	0	56	1
(20915,0,96,0)	0	0	10	0
(20915,0,100,0)	0	0	5	73
(20915,0,176,0)	0	0	12	0
(20915,1,34,0)	0	0	0	1
(20915,1,38,0)	0	0	12	89
(20915,1,49,0)	0	0	22	60
(20915,1,58,0)	0	0	12	16
(20915,1,79,0)	0	0	13	65
(20915,1,90,0)	0	0	1	23
(20915,1,122,0)	0	0	3	104
(20915,1,129,0)	0	0	2	91
(20915,1,134,0)	0	0	16	180
(20915,1,167,0)	0	0	0	73
(20915,1,190,0)	0	0	22	60
(20916,0,34,0)	0	0	25	0
(20916,0,63,0)	0	0	2	0
(20916,0,72,0)	0	0	4	67
(20916,0,95,0)	0	0	7	4
(20916,0,105,0)	0	0	11	49
(20916,0,122,0)	0	0	93	11
(20916,0,176,0)	0	0	32	22
(20916,1,35,0)	0	0	0	2
(20916,1,46,0)	0	0	0	3
(20916,1,47,0)	0	0	0	13
(20916,1,64,0)	0	0	1	45
(20916,1,81,0)	0	0	17	32
(20916,1,113,0)	0	0	5	0
(20916,1,122,0)	0	0	19	29
(20916,1,126,0)	0	0	21	71
(20917,0,27,0)	0	0	0	70
(20917,0,83,0)	0	0	22	1
(20917,1,33,0)	0	0	15	0
(20917,1,41,0)	0	0	6	57
(20917,1,69,0)	0	0	102	168
(20917,1,113,0)	0	0	1	27
(20917,1,127,0)	0	0	3	18
(20917,1,137,0)	0	0	37	21
(20917,1,184,0)	0	0	0	159
(20917,1,185,0)	0	0	4	67
(20917,1,201,0)	0	0	12	123
(20918,0,35,0)	0	0	17	0
(20918,0,78,0)	0	0	15	3
(20918,0,131,0)	0	0	0	13
(20918,0,138,0)	0	0	30	14
(20918,0,182,0)	0	0	4	97
(20918,0,186,0)	0	0	3	0
(20918,0,213,0)	0	0	0	20
(20918,1,18,0)	0	0	27	58
(20918,1,61,0)	0	0	0	19
(20918,1,105,0)	0	0	0	29
(20918,1,122,0)	0	0	19	129
(20918,1,126,0)	0	0	3	78
(20918,1,157,0)	0	0	8	130
(20918,1,169,0)	0	0	0	32
(20918,1,170,0)	0	0	0	44
(20918,1,177,0)	0	0	1	87
(20918,1,197,0)	0	0	0	19
(20919,0,100,0)	0	0	26	16
(20919,1,3,0)	0	0	1	22
(20919,1,46,0)	0	0	9	144
(20919,1,71,0)	0	0	31	123
(20919,1,78,0)	0	0	12	15
(20919,1,103,0)	0	0	0	14
(20919,1,124,0)	0	0	8	247
(20919,1,146,0)	0	0	16	5
(20919,1,148,0)	0	0	2	122
(20919,1,189,0)	0	0	10	143
(20919,1,195,0)	0	0	1	28
(20919,1,204,0)	0	0	0	9
(20920,0,24,0)	0	0	7	0
(20920,0,60,0)	0	0	1	9
(20920,0,73,0)	0	0	30	14
(20920,0,137,0)	0	0	1	24
(20920,0,201,0)	0	0	68	0
(20920,1,71,0)	0	0	0	12
(20920,1,86,0)	0	0	0	73
(20920,1,90,0)	0	0	160	240
(20920,1,121,0)	0	0	3	71
(20920,1,143,0)	0	0	7	60
(20920,1,160,0)	0	0	5	94
(20920,1,177,0)	0	0	1	115
(20920,1,215,0)	0	0	0	2
(20921,0,59,0)	0	0	0	8
(20921,0,99,0)	0	0	9	0
(20921,0,109,0)	0	0	53	61
(20921,0,206,0)	0	0	10	0
(20921,1,21,0)	0	0	0	18
(20921,1,54,0)	0	0	12	47
(20921,1,65,0)	0	0	37	172
(20921,1,73,0)	0	0	1	13
(20921,1,75,0)	0	0	0	24
(20921,1,160,0)	0	0	24	54
(20921,1,176,0)	0	0	3	56
(20922,0,14,0)	0	0	92	2
(20922,0,24,0)	0	0	48	0
(20922,0,189,0)	0	0	16	7
(20922,1,8,0)	0	0	0	33
(20922,1,38,0)	0	0	33	7
(20922,1,58,0)	0	0	0	9
(20922,1,81,0)	0	0	3	192
(20922,1,92,0)	0	0	14	0
(20922,1,123,0)	0	0	34	86
(20922,1,132,0)	0	0	66	326
(20922,1,160,0)	0	0	5	53
(20922,1,209,0)	0	0	0	14
(20923,0,21,0)	0	0	0	2
(20923,0,24,0)	0	0	25	0
(20923,0,50,0)	0	0	46	1
(20923,0,57,0)	0	0	15	3
(20923,0,74,0)	0	0	8	0
(20923,0,75,0)	0	0	221	5
(20923,0,77,0)	0	0	147	11
(20923,0,104,0)	0	0	48	0
(20923,0,149,0)	0	0	1	50
(20923,0,190,0)	0	0	25	35
(20923,0,193,0)	0	0	1	56
(20923,1,2,0)	0	0	0	60
(20923,1,4,0)	0	0	21	146
(20923,1,19,0)	0	0	37	90
(20923,1,39,0)	0	0	3	173
(20923,1,56,0)	0	0	2	103
(20923,1,125,0)	0	0	2	36
(20923,1,146,0)	0	0	34	122
(20923,1,147,0)	0	0	9	40
(20923,1,182,0)	0	0	0	75
(20924,0,24,0)	0	0	6	0
(20924,0,75,0)	0	0	63	12
(20924,0,133,0)	0	0	6	5
(20924,0,179,0)	0	0	58	23
(20924,0,181,0)	0	0	16	0
(20924,1,12,0)	0	0	77	85
(20924,1,23,0)	0	0	0	32
(20924,1,28,0)	0	0	2	198
(20924,1,50,0)	0	0	2	116
(20924,1,151,0)	0	0	39	256
(20924,1,163,0)	0	0	20	73
(20925,0,47,0)	0	0	33	15
(20925,0,141,0)	0	0	0	9
(20925,0,172,0)	0	0	17	14
(20925,1,26,0)	0	0	27	35
(20925,1,42,0)	0	0	41	37
(20925,1,51,0)	0	0	0	18
(20925,1,57,0)	0	0	44	0
(20925,1,78,0)	0	0	7	68
(20925,1,90,0)	0	0	0	30
(20925,1,103,0)	0	0	0	17
(20925,1,154,0)	0	0	19	90
(20925,1,171,0)	0	0	0	105
(20926,0,3,0)	0	0	0	5
(20926,0,126,0)	0	0	15	3
(20926,1,3,0)	0	0	0	8
(20926,1,16,0)	0	0	35	104
(20926,1,59,0)	0	0	8	45
(20926,1,95,0)	0	0	0	13
(20926,1,112,0)	0	0	10	33
(20926,1,133,0)	0	0	0	46
(20926,1,134,0)	0	0	0	42
(20926,1,144,0)	0	0	0	4
(20926,1,178,0)	0	0	0	19
(20926,1,184,0)	0	0	4	23
(20927,0,51,0)	0	0	31	1
(20927,0,67,0)	0	0	4	0
(20927,0,149,0)	0	0	10	0
(20927,0,151,0)	0	0	27	2
(20927,1,7,0)	0	0	11	8
(20927,1,17,0)	0	0	25	155
(20927,1,31,0)	0	0	2	57
(20927,1,37,0)	0	0	62	76
(20927,1,64,0)	0	0	0	73
(20927,1,86,0)	0	0	0	115
(20927,1,87,0)	0	0	5	0
(20927,1,101,0)	0	0	0	50
(20927,1,140,0)	0	0	4	214
(20927,1,180,0)	0	0	1	93
(20927,1,193,0)	0	0	0	34
(20928,0,3,0)	0	0	13	0
(20928,0,67,0)	0	0	19	10
(20928,0,166,0)	0	0	25	68
(20928,0,184,0)	0	0	28	6
(20928,1,9,0)	0	0	7	37
(20928,1,89,0)	0	0	2	36
(20928,1,107,0)	0	0	19	49
(20928,1,113,0)	0	0	0	4
(20928,1,121,0)	0	0	0	11
(20928,1,142,0)	0	0	8	0
(20928,1,151,0)	0	0	3	50
(20928,1,188,0)	0	0	28	156
(20929,0,10,0)	0	0	12	6
(20929,0,17,0)	0	0	21	0
(20929,0,33,0)	0	0	5	0
(20929,0,49,0)	0	0	21	0
(20929,0,54,0)	0	0	32	0
(20929,0,128,0)	0	0	8	0
(20929,0,165,0)	0	0	11	0
(20929,0,190,0)	0	0	0	6
(20929,1,2,0)	0	0	0	12
(20929,1,25,0)	0	0	4	19
(20929,1,26,0)	0	0	0	6
(20929,1,57,0)	0	0	0	25
(20929,1,58,0)	0	0	0	24
(20929,1,109,0)	0	0	17	238
(20929,1,110,0)	0	0	1	13
(20929,1,124,0)	0	0	0	53
(20929,1,132,0)	0	0	67	16
(20929,1,164,0)	0	0	10	272
(20930,0,16,0)	0	0	8	56
(20930,0,82,0)	0	0	49	78
(20930,0,128,0)	0	0	23	0
(20930,0,162,0)	0	0	66	17
(20930,0,186,0)	0	0	122	157
(20930,1,21,0)	0	0	13	3
(20930,1,50,0)	0	0	14	55
(20930,1,82,0)	0	0	1	42
(20930,1,94,0)	0	0	3	0
(20930,1,102,0)	0	0	64	110
(20930,1,106,0)	0	0	29	142
(20930,1,152,0)	0	0	10	32
(20930,1,169,0)	0	0	13	112
(20931,0,2,0)	0	0	40	8
(20931,0,114,0)	0	0	5	17
(20931,0,133,0)	0	0	77	11
(20931,0,156,0)	0	0	60	0
(20931,0,199,0)	0	0	5	0
(20931,1,4,0)	0	0	4	3
(20931,1,46,0)	0	0	3	80
(20931,1,60,0)	0	0	2	85
(20931,1,73,0)	0	0	4	50
(20931,1,95,0)	0	0	13	181
(20931,1,149,0)	0	0	0	40
(20931,1,186,0)	0	0	32	89
(20931,1,192,0)	0	0	14	53
(20931,1,196,0)	0	0	0	19
(20932,0,29,0)	0	0	92	15
(20932,0,50,0)	0	0	6	7
(20932,0,73,0)	0	0	25	10
(20932,0,161,0)	0	0	19	24
(20932,1,0,0)	0	0	6	159
(20932,1,5,0)	0	0	5	29
(20932,1,9,0)	0	0	5	50
(20932,1,57,0)	0	0	1	11
(20932,1,110,0)	0	0	7	138
(20932,1,111,0)	0	0	0	20
(20932,1,131,0)	0	0	6	0
(20932,1,169,0)	0	0	1	20
(20932,1,183,0)	0	0	9	52
(20932,1,198,0)	0	0	23	101
(20933,0,9,0)	0	0	13	0
(20933,0,92,0)	0	0	22	8
(20933,0,149,0)	0	0	9	5
(20933,0,174,0)	0	0	0	1
(20933,0,175,0)	0	0	36	4
(20933,1,0,0)	0	0	0	81
(20933,1,11,0)	0	0	0	8
(20933,1,41,0)	0	0	0	8
(20933,1,78,0)	0	0	0	2
(20933,1,80,0)	0	0	1	85
(20933,1,88,0)	0	0	0	4
(20933,1,89,0)	0	0	0	38
(20933,1,112,0)	0	0	3	134
(20933,1,125,0)	0	0	5	84
(20933,1,136,0)	0	0	0	35
(20933,1,170,0)	0	0	2	151
(20933,1,176,0)	0	0	3	21
(20934,0,17,0)	0	0	28	15
(20934,0,31,0)	0	0	8	0
(20934,0,34,0)	0	0	0	32
(20934,0,90,0)	0	0	3	0
(20934,0,120,0)	0	0	13	38
(20934,0,137,0)	0	0	2	2
(20934,0,176,0)	0	0	13	14
(20934,0,212,0)	0	0	29	0
(20934,1,1,0)	0	0	0	19
(20934,1,8,0)	0	0	3	0
(20934,1,26,0)	0	0	1	90
(20934,1,36,0)	0	0	10	3
(20934,1,44,0)	0	0	0	5
(20934,1,127,0)	0	0	0	4
(20934,1,142,0)	0	0	0	3
(20934,1,143,0)	0	0	21	62
(20934,1,160,0)	0	0	0	13
(20934,1,176,0)	0	0	5	34
(20935,0,12,0)	0	0	12	0
(20935,0,28,0)	0	0	80	4
(20935,0,35,0)	0	0	45	5
(20935,0,40,0)	0	0	22	39
(20935,0,82,0)	0	0	78	68
(20935,0,107,0)	0	0	8	55
(20935,0,119,0)	0	0	7	6
(20935,0,165,0)	0	0	14	17
(20935,0,172,0)	0	0	16	0
(20935,0,177,0)	0	0	27	7
(20935,1,6,0)	0	0	26	19
(20935,1,45,0)	0	0	8	46
(20935,1,68,0)	0	0	2	88
(20935,1,86,0)	0	0	46	66
(20935,1,89,0)	0	0	11	60
(20935,1,98,0)	0	0	0	6
(20935,1,113,0)	0	0	0	30
(20935,1,130,0)	0	0	4	132
(20935,1,164,0)	0	0	0	9
(20935,1,173,0)	0	0	10	17
(20935,1,180,0)	0	0	0	89
(20935,1,200,0)	0	0	0	31
(20936,0,49,0)	0	0	12	1
(20936,0,130,0)	0	0	18	9
(20936,0,182,0)	0	0	0	20
(20936,1,0,0)	0	0	0	47
(20936,1,27,0)	0	0	10	69
(20936,1,36,0)	0	0	35	43
(20936,1,89,0)	0	0	5	188
(20936,1,91,0)	0	0	18	154
(20936,1,102,0)	0	0	13	3
(20936,1,106,0)	0	0	16	66
(20936,1,184,0)	0	0	55	88
(20937,0,35,0)	0	0	36	1
(20937,0,104,0)	0	0	13	1
(20937,0,157,0)	0	0	122	8
(20937,0,201,0)	0	0	58	6
(20937,1,17,0)	0	0	7	36
(20937,1,63,0)	0	0	0	27
(20937,1,140,0)	0	0	4	28
(20937,1,155,0)	0	0	51	20
(20937,1,159,0)	0	0	1	36
(20937,1,161,0)	0	0	7	17
(20937,1,181,0)	0	0	0	36
(20937,1,183,0)	0	0	1	98
(20938,0,8,0)	0	0	89	146
(20938,0,43,0)	0	0	16	11
(20938,0,69,0)	0	0	70	7
(20938,0,116,0)	0	0	12	0
(20938,0,118,0)	0	0	30	0
(20938,0,151,0)	0	0	2	0
(20938,0,162,0)	0	0	23	0
(20938,0,170,0)	0	0	0	23
(20938,0,181,0)	0	0	35	19
(20938,1,18,0)	0	0	2	8
(20938,1,23,0)	0	0	0	10
(20938,1,24,0)	0	0	0	50
(20938,1,39,0)	0	0	2	0
(20938,1,65,0)	0	0	20	94
(20938,1,81,0)	0	0	0	16
(20938,1,89,0)	0	0	13	55
(20938,1,92,0)	0	0	0	1
(20938,1,130,0)	0	0	0	20
(20938,1,148,0)	0	0	1	124
(20938,1,152,0)	0	0	0	73
(20938,1,176,0)	0	0	12	37
(20939,0,0,0)	0	0	19	0
(20939,0,2,0)	0	0	14	29
(20939,0,11,0)	0	0	21	0
(20939,0,80,0)	0	0	86	0
(20939,0,91,0)	0	0	2	0
(20939,0,123,0)	0	0	44	20
(20939,0,125,0)	0	0	27	0
(20939,0,131,0)	0	0	9	0
(20939,0,159,0)	0	0	74	0
(20939,1,14,0)	0	0	15	2
(20939,1,22,0)	0	0	15	0
(20939,1,38,0)	0	0	8	0
(20939,1,57,0)	0	0	2	26
(20939,1,78,0)	0	0	8	36
(20939,1,118,0)	0	0	34	59
(20939,1,145,0)	0	0	0	3
(20940,0,25,0)	0	0	46	0
(20940,0,33,0)	0	0	0	19
(20940,0,98,0)	0	0	25	1
(20940,0,121,0)	0	0	8	1
(20940,0,134,0)	0	0	70	1
(20940,0,152,0)	0	0	39	0
(20940,0,174,0)	0	0	3	2
(20940,0,182,0)	0	0	8	16
(20940,1,18,0)	0	0	0	10
(20940,1,46,0)	0	0	0	25
(20940,1,69,0)	0	0	0	76
(20940,1,101,0)	0	0	29	12
(20940,1,106,0)	0	0	21	111
(20940,1,115,0)	0	0	3	13
(20940,1,139,0)	0	0	0	11
(20940,1,151,0)	0	0	0	1
(20940,1,157,0)	0	0	4	84
(20940,1,176,0)	0	0	6	33
(20940,1,179,0)	0	0	24	23
(20941,0,38,0)	0	0	19	12
(20941,0,75,0)	0	0	2	15
(20941,0,82,0)	0	0	16	32
(20941,0,107,0)	0	0	2	0
(20941,0,148,0)	0	0	16	1
(20941,0,157,0)	0	0	0	16
(20941,0,158,0)	0	0	34	0
(20941,0,160,0)	0	0	28	7
(20941,0,180,0)	0	0	36	11
(20941,0,190,0)	0	0	12	0
(20941,1,33,0)	0	0	3	69
(20941,1,35,0)	0	0	14	91
(20941,1,50,0)	0	0	0	17
(20941,1,61,0)	0	0	2	44
(20941,1,98,0)	0	0	7	27
(20941,1,103,0)	0	0	0	44
(20941,1,104,0)	0	0	0	1
(20941,1,132,0)	0	0	19	52
(20941,1,183,0)	0	0	1	70
(20942,0,10,0)	0	0	7	0
(20942,0,117,0)	0	0	4	0
(20942,0,135,0)	0	0	9	0
(20942,0,151,0)	0	0	3	63
(20942,0,161,0)	0	0	21	43
(20942,0,178,0)	0	0	0	16
(20942,0,193,0)	0	0	36	0
(20942,1,10,0)	0	0	23	116
(20942,1,13,0)	0	0	1	60
(20942,1,53,0)	0	0	0	9
(20942,1,66,0)	0	0	0	15
(20942,1,84,0)	0	0	15	37
(20942,1,99,0)	0	0	0	83
(20942,1,117,0)	0	0	0	14
(20942,1,129,0)	0	0	0	5
(20942,1,155,0)	0	0	1	30
(20942,1,168,0)	0	0	0	26
(20942,1,170,0)	0	0	4	7
(20942,1,179,0)	0	0	4	101
(20942,1,190,0)	0	0	0	18
(20943,0,84,0)	0	0	19	0
(20943,0,146,0)	0	0	0	9
(20943,0,155,0)	0	0	12	5
(20943,0,208,0)	0	0	1	88
(20943,1,5,0)	0	0	7	8
(20943,1,18,0)	0	0	0	24
(20943,1,19,0)	0	0	2	12
(20943,1,23,0)	0	0	9	96
(20943,1,24,0)	0	0	7	35
(20943,1,36,0)	0	0	2	152
(20943,1,53,0)	0	0	4	86
(20943,1,68,0)	0	0	0	11
(20943,1,76,0)	0	0	5	63
(20943,1,84,0)	0	0	0	9
(20943,1,135,0)	0	0	1	79
(20943,1,146,0)	0	0	3	0
(20943,1,164,0)	0	0	9	3
(20944,0,2,0)	0	0	5	0
(20944,0,31,0)	0	0	0	16
(20944,0,72,0)	0	0	64	15
(20944,0,108,0)	0	0	11	0
(20944,0,189,0)	0	0	17	33
(20944,1,2,0)	0	0	4	51
(20944,1,13,0)	0	0	0	41
(20944,1,28,0)	0	0	0	29
(20944,1,54,0)	0	0	8	185
(20944,1,69,0)	0	0	9	157
(20944,1,77,0)	0	0	0	27
